title,type,example,example_type,definition
RUBBER GUARD,Grappling Position,,Image,This is a guard in which the bottom athlete brings one leg high up on the top athlete’s back and hooks the leg under his or her own arm. It controls the top athlete while freeing up one arm for the bottom athlete to attack.
HALF GUARD,Grappling Position,,Image,A guard position in which only one of the opponent’s legs are held between the grounded athlete’s legs.
SIDE MOUNT,Grappling Position,,Image,When one athlete is on top of his or her opponent with their heads at 90 degrees. Also known as side control.
NORTH/SOUTH,Grappling Position,,Image,A mount position in which the athletes’ heads are facing opposite directions. Also known as Reverse Mount.
FRONT MOUNT,Grappling Position,,Image,"A mount position in which the top athlete is squared to the bottom athlete, with his or her legs straddling the opponent."
REAR MOUNT,Grappling Position,,Image,A mount position in which the bottom athlete has his or her back turned to the top athlete.
HOOKS IN,Grappling Position,,Image,When an athlete has a rear mount and locks his or her feet between the legs of the mounted athlete. This prevents the mounted athlete from turning his or her opponent to improve their position.
SPRAWL,Grappling Technique,U0y7zUwyd6g,Video,A takedown defense where an athlete spreads their legs away from the attacking athlete and applies their weight to the athlete’s back in an effort to deny access to their legs and attain superior position.
SINGLE-LEG TAKEDOWN,Grappling Technique,pomEyJv5ujA?start=39,Video,"Similar to a double-leg takedown, except only one leg is hooked."
DOUBLE-LEG TAKEDOWN,Grappling Technique,BV3FcAecXL0,Video,"Similar to a tackle, an athlete lowers his or her head and hooks both legs with their arms and applies pressure to the defender’s body, driving the opponent to the ground."
GUARD PASS,Grappling Technique,jN07H_jL_AM?start=94&end=104,Video,A technique used by one athlete in another athlete’s guard to move into a mount position.
SLAM,Grappling Technique,jwINYKiSWAk,Video,When an athlete picks up his or her opponent and throws them to the ground.
ARMBAR,Submission,XI5iRh76ZJk,Video,"A lock in which the arm is straightened, hyperextending the elbow. In MMA, this is most often done by trapping the arm between the legs and extending the hips upward."
TRIANGLE CHOKE,Submission,dlw6AQH4oI0,Video,"Using the legs, the attacker places the opponent’s neck in the crux of his or her knee while the other leg comes up the opponent’s opposite arm. The foot is hooked under the crux of the other knee, and the hips are raised while the defender’s head is pulled down to create pressure."
GUILLOTINE CHOKE,Submission,0FsBvCewCco,Video,A choke applied in a reverse headlock position where the forearm is used in an upward manner to apply pressure to the athlete’s neck.
REAR-NAKED CHOKE,Submission,73lxvAFuArU,Video,A choke applied behind an opponent upon capturing his or her back. A rear-naked choke is one of the most advantageous types of chokes as far as positioning.
KIMURA,Submission,7H9pD9Jow9U,Video,"An arm-lock position in which the arm is bent behind the athlete leading to an arm break or a shoulder dislocation if the athlete doesn’t tap out. It is named after Japanese athlete, Masahiko Kimura."
OMOPLATA,Submission,PUj9TUK32ww?start=29,Video,"A Kimura lock using the leg, instead of the arm, to trap the athlete’s arm."
